,Date,Open,High,Low,Close,Adj Close,Volume,MA for 10 days,MA for 14 days,MA for 22 days,EMA of 22 Days,UBB,LBB,EMA2,EMA3,TEMA,pctB,MACD,RSI
111,5/22/1981,0.560268,0.564732,0.560268,0.560268,0.025108,7856800,0.5029016,0.501115929,0.504058273,0.492829263,0.540211955,0.467904591,0.482580849,0.485574148,0.516319388,25.5474419,0.002217846,70.65550294
112,5/26/1981,0.560268,0.560268,0.558036,0.558036,0.025008,21336000,0.5098213,0.505101929,0.505681682,0.495808735,0.547960357,0.463403006,0.483190558,0.485461667,0.523316197,22.38315002,0.003133603,69.60846181
113,5/27/1981,0.589286,0.591518,0.589286,0.589286,0.026408,37374400,0.519866,0.512276714,0.508928455,0.500078947,0.56412306,0.453733849,0.483968493,0.485391326,0.533722687,24.55894912,0.005594679,75.15891899
114,5/28/1981,0.589286,0.591518,0.589286,0.589286,0.026408,18496800,0.5301339,0.518973143,0.512378136,0.504153162,0.577360815,0.447395458,0.4848977,0.485368111,0.543134496,21.83513286,0.010187763,75.15891899
115,5/29/1981,0.591518,0.59375,0.591518,0.591518,0.026508,14845600,0.5412946,0.525510143,0.516335136,0.508142375,0.589397982,0.443272291,0.485967154,0.485396239,0.551921902,20.29016369,0.015567846,75.52912134
116,6/1/1981,0.591518,0.59375,0.591518,0.591518,0.026508,12812800,0.5513393,0.532844357,0.5205965,0.511948646,0.59979927,0.44139373,0.487161863,0.485479023,0.559839373,18.95442173,0.021649006,75.52912134
117,6/2/1981,0.564732,0.564732,0.5625,0.5625,0.025208,10108000,0.5575893,0.538105857,0.523133045,0.514255965,0.604026618,0.442239473,0.488407075,0.485616111,0.563162782,14.86651203,0.026814385,61.67131352
118,6/3/1981,0.5625,0.566964,0.5625,0.5625,0.025208,9861600,0.5647322,0.543526786,0.525669591,0.516457556,0.607892082,0.4434471,0.489695591,0.485806848,0.566092743,14.47935945,0.030878071,61.67131352
119,6/4/1981,0.573661,0.575893,0.573661,0.573661,0.025708,14016800,0.5714287,0.550223214,0.528814909,0.519067536,0.612910859,0.444718959,0.491044161,0.486051402,0.570121525,15.33272898,0.034355064,64.57095649
120,6/5/1981,0.566964,0.566964,0.564732,0.564732,0.025308,14420000,0.5743305,0.555484714,0.531655818,0.521150677,0.616210118,0.447101518,0.492425824,0.486348684,0.572523242,13.91182729,0.037917942,60.6198405
121,6/8/1981,0.546875,0.546875,0.544643,0.544643,0.024407,23374400,0.572768,0.5586735,0.534192364,0.522222184,0.616687204,0.451697523,0.493792654,0.486695436,0.571984026,11.26682303,0.039620692,52.79280229
122,6/9/1981,0.555804,0.558036,0.555804,0.555804,0.024908,29898400,0.5725448,0.563297286,0.536931818,0.523753643,0.618038438,0.455825198,0.495166462,0.487089585,0.572851129,12.32683618,0.03940609,56.17814684
123,6/10/1981,0.5625,0.569196,0.5625,0.5625,0.025208,6305600,0.5698662,0.567283286,0.539772727,0.525520361,0.619830095,0.45971536,0.496557731,0.487529657,0.574417546,12.83887335,0.037359936,58.11864144
124,6/11/1981,0.587054,0.589286,0.587054,0.587054,0.026308,9744000,0.569643,0.570950429,0.544237045,0.528325712,0.623340374,0.465133717,0.498013262,0.488016428,0.578953778,15.41278796,0.036515718,64.35232066
125,6/12/1981,0.582589,0.582589,0.580357,0.580357,0.026008,6451200,0.5685269,0.572385357,0.548396955,0.530697522,0.624874176,0.471919733,0.49951023,0.488549583,0.58211146,14.17902806,0.032251712,61.65677184
126,6/15/1981,0.580357,0.580357,0.578125,0.578125,0.025908,35940800,0.5671876,0.573820286,0.552556864,0.532859191,0.624788067,0.480325661,0.501037114,0.489128294,0.584594527,13.53976333,0.028145128,60.74353872
